case_number,date,block,latitude,longitude,ward,fatal
JJ491978,2025-11-16 23:07:00,6400 S EBERHART AVE,41.77731834585807,-87.61371534612034,20.0,False
JJ491978,2025-11-16 23:07:00,6400 S EBERHART AVE,41.77731834585807,-87.61371534612034,20.0,False
JJ491956,2025-11-16 22:05:00,6900 S MAPLEWOOD AVE,41.76674690414193,-87.68709905869923,16.0,False
JJ491956,2025-11-16 22:05:00,6900 S MAPLEWOOD AVE,41.76674690414193,-87.68709905869923,16.0,False
JJ491750,2025-11-16 17:37:00,7900 S EBERHART AVE,41.75074966894668,-87.61247854747083,6.0,False
JJ491581,2025-11-16 15:14:00,10200 S LA SALLE ST,41.70829309585807,-87.62701094130077,9.0,False
JJ491196,2025-11-16 05:42:00,600 E 75TH ST,41.75814690414193,-87.60860905869923,6.0,False
JJ491088,2025-11-16 04:30:00,6200 S DR MARTIN LUTHER KING JR DR,41.78111834585807,-87.61622534612034,20.0,False
JJ491049,2025-11-16 03:04:00,100 N ELIZABETH ST,41.88601781719707,-87.65903310279523,27.0,True
JJ490888,2025-11-15 22:28:00,800 E 79TH ST,41.75136834585807,-87.60521534612035,6.0,False
JJ490364,2025-11-15 14:04:00,4100 W ADAMS ST,41.87754690414193,-87.72929094130077,28.0,False
JJ490364,2025-11-15 14:04:00,4100 W ADAMS ST,41.87754690414193,-87.72929094130077,28.0,False
JJ490283,2025-11-15 12:39:00,9200 S LA SALLE ST,41.72653165414193,-87.62700465387967,9.0,True
JJ490161,2025-11-15 11:24:00,500 N CENTRAL AVE,41.89106309585807,-87.76481094130077,37.0,False
JJ490161,2025-11-15 11:24:00,500 N CENTRAL AVE,41.89106309585807,-87.76481094130077,37.0,True
JJ496401,2025-11-15 03:43:00,600 E 89TH PL,41.73242309585807,-87.60744094130077,8.0,False
JJ489779,2025-11-15 02:52:00,4200 S INDIANA AVE,41.81773309585807,-87.62183905869924,3.0,False
JJ489740,2025-11-15 01:47:00,1500 N HONORE ST,41.91062293550669,-87.67338399806982,32.0,True
JJ488559,2025-11-14 08:28:00,1700 E 79TH ST,41.75190309585807,-87.58307905869923,8.0,False
JJ488379,2025-11-14 01:24:00,7600 S SANGAMON ST,41.75571309585807,-87.64791905869923,17.0,True
JJ487298,2025-11-13 07:02:00,800 W WELLINGTON AVE,41.93663834585807,-87.65103534612034,44.0,False
JJ487129,2025-11-12 23:04:00,100 W 70TH ST,41.76786309585807,-87.62952905869923,6.0,False
JJ487001,2025-11-12 19:17:00,7600 S STONY ISLAND AVE,41.75728309585807,-87.58527094130076,8.0,True
JJ486987,2025-11-12 18:53:00,4800 W VAN BUREN ST,41.87488165414193,-87.74683534612033,29.0,False
JJ486560,2025-11-12 14:00:00,4800 S WOOD ST,41.80617966894668,-87.66975854747082,15.0,False
JJ485164,2025-11-11 10:50:00,400 E 34TH ST,41.83254690414193,-87.61440094130077,4.0,False
JJ485164,2025-11-11 10:50:00,400 E 34TH ST,41.83254690414193,-87.61440094130077,4.0,False
JJ485164,2025-11-11 10:50:00,400 E 34TH ST,41.83254690414193,-87.61440094130077,4.0,False
JJ485164,2025-11-11 10:50:00,400 E 34TH ST,41.83254690414193,-87.61440094130077,4.0,False
JJ485164,2025-11-11 10:50:00,400 E 34TH ST,41.83254690414193,-87.61440094130077,4.0,False
JJ484876,2025-11-11 00:48:00,6500 S OAKLEY AVE,41.77393690414193,-87.68135905869923,16.0,False
JJ484853,2025-11-10 23:19:00,500 N CENTRAL AVE,41.89053165414193,-87.76465465387966,37.0,True
JJ483285,2025-11-09 15:01:00,3100 W 66TH ST,41.7730105,-87.70259,14.0,False
JJ483412,2025-11-09 14:55:00,6100 S KEDZIE AVE,41.78259834585807,-87.70294465387965,14.0,False
JJ483144,2025-11-09 08:00:00,5800 S MARYLAND AVE,41.78785690414193,-87.60450094130077,5.0,False
JJ482810,2025-11-09 03:29:00,4000 W CHICAGO AVE,41.89605966894668,-87.72612854747082,37.0,False
JJ482808,2025-11-09 03:15:00,6500 W FULLERTON AVE,41.92393834585807,-87.79034534612035,36.0,False
JJ482808,2025-11-09 03:15:00,6500 W FULLERTON AVE,41.92393834585807,-87.79034534612035,36.0,False
JJ482759,2025-11-09 00:30:00,5600 S WESTERN AVE,41.79212309585807,-87.68410905869924,15.0,False
JJ482411,2025-11-08 17:50:00,3800 W 26TH ST,41.84489309585807,-87.72164094130076,22.0,True
JJ482411,2025-11-08 17:50:00,3800 W 26TH ST,41.84489309585807,-87.72164094130076,22.0,True
JJ482155,2025-11-08 14:08:00,7700 S YATES BLVD,41.7535205,-87.56613,7.0,False
JJ481951,2025-11-08 11:15:00,3600 W 25TH ST,41.84657309585807,-87.71673094130077,22.0,False
JJ481646,2025-11-08 02:45:00,1300 S MORGAN ST,41.86390903153093,-87.65041059200023,28.0,False
JJ481507,2025-11-07 22:10:00,8800 S LOWE AVE,41.73270165414193,-87.64046534612034,21.0,True
JJ481493,2025-11-07 22:02:00,900 W 63RD PKWY,41.78134165414193,-87.64705465387966,16.0,True
JJ481491,2025-11-07 22:01:00,7100 S JEFFERY BLVD,41.76586309585807,-87.57616094130077,5.0,False
JJ480442,2025-11-07 04:16:00,4100 W 25TH ST,41.84633834585807,-87.72724465387967,22.0,False
JJ480303,2025-11-06 21:49:00,4600 W PATTERSON AVE,41.94677165414193,-87.74381465387965,30.0,False
JJ480219,2025-11-06 20:21:00,6700 S WESTERN AVE,41.77082309585807,-87.68351905869923,16.0,False
JJ480219,2025-11-06 20:21:00,6700 S WESTERN AVE,41.77082309585807,-87.68351905869923,16.0,False
JJ480142,2025-11-06 18:31:00,3100 W MADISON ST,41.88106834585807,-87.70423465387965,28.0,False
JJ479809,2025-11-06 14:46:00,3600 W DIVISION ST,41.90312309585807,-87.71897905869923,36.0,False
JJ479532,2025-11-06 10:40:00,100 N LAMON AVE,41.88233834585807,-87.74720465387966,28.0,False
JJ479152,2025-11-05 23:26:00,7200 S SANGAMON ST,41.76227834585807,-87.64738465387966,17.0,True
JJ478713,2025-11-05 16:14:00,2800 N WOODARD ST,41.93333165414193,-87.71120465387966,35.0,True
JJ477736,2025-11-04 20:01:00,3900 W FERDINAND ST,41.88928690414193,-87.72386905869924,37.0,False
JJ477736,2025-11-04 20:01:00,3900 W FERDINAND ST,41.88928690414193,-87.72386905869924,37.0,False
JJ477207,2025-11-04 00:00:00,7800 S MARYLAND AVE,41.75275165414193,-87.60458534612034,8.0,False
JJ476372,2025-11-03 19:30:00,5600 W MADISON ST,41.88031834585807,-87.76502465387966,29.0,False
JJ476281,2025-11-03 17:33:00,1500 S AVERS AVE,41.85957309585807,-87.72089094130077,24.0,False
JJ475994,2025-11-03 15:12:00,2000 E 67TH ST,41.77307690414193,-87.57550094130077,5.0,True
JJ475952,2025-11-03 14:42:00,4700 S MICHIGAN AVE,41.80878834585807,-87.62253465387965,3.0,False
JJ475512,2025-11-03 08:53:00,5700 N BROADWAY,41.98567834585807,-87.65954465387966,48.0,False
JJ475291,2025-11-03 02:26:00,1800 S LAWNDALE AVE,41.85576309585807,-87.71745094130077,24.0,False
JJ475291,2025-11-03 02:26:00,1800 S LAWNDALE AVE,41.85576309585807,-87.71745094130077,24.0,False
JJ475183,2025-11-02 21:56:00,2000 W 69TH ST,41.76835165414193,-87.67421465387966,17.0,False
JJ475054,2025-11-02 19:05:00,4000 S PULASKI RD,41.81833690414193,-87.72384094130076,14.0,False
JJ475054,2025-11-02 19:05:00,4000 S PULASKI RD,41.81833690414193,-87.72384094130076,14.0,True
JJ474883,2025-11-02 16:11:00,3000 S TRUMBULL AVE,41.83752165414193,-87.71065465387966,22.0,True
JJ474248,2025-11-02 04:30:00,3100 W 60TH ST,41.78454834585807,-87.70141534612034,14.0,False
JJ474217,2025-11-02 03:20:00,2100 E 79TH ST,41.75136165414193,-87.57240534612033,8.0,False
JJ474182,2025-11-02 01:58:00,1500 S RIDGEWAY AVE,41.86031834585807,-87.71831465387966,24.0,False
JJ474182,2025-11-02 01:58:00,1500 S RIDGEWAY AVE,41.86031834585807,-87.71831465387966,24.0,False
JJ474182,2025-11-02 01:58:00,1500 S RIDGEWAY AVE,41.86031834585807,-87.71831465387966,24.0,False
JJ474172,2025-11-02 01:45:00,3400 N CLARK ST,41.94386834585807,-87.65341465387966,44.0,False
JJ474172,2025-11-02 01:45:00,3400 N CLARK ST,41.94386834585807,-87.65341465387966,44.0,False
JJ474172,2025-11-02 01:45:00,3400 N CLARK ST,41.94386834585807,-87.65341465387966,44.0,False
JJ474172,2025-11-02 01:45:00,3400 N CLARK ST,41.94386834585807,-87.65341465387966,44.0,False
JJ474186,2025-11-02 01:30:00,6500 S GREEN ST,41.77466690414193,-87.64600905869924,16.0,False
JJ473971,2025-11-01 20:00:00,5200 N OAKLEY AVE,41.97766182360107,-87.68644296896876,40.0,False
